Date,inflow,Year,Month,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,month_sin,month_cos,time_index,time_index_norm,diff_1,diff_pct_1,diff_12,diff_pct_12
2004-08-01,14.65311533510895,2004,8,13.26982203971731,25.040100011763105,55.16940635742762,46.118424679977416,12.829586563254434,16.82876922134419,31.159776136302657,21.609757481313206,13.26982203971731,55.16940635742762,49.6216062882169,27.684830920282167,13.26982203971731,87.11449594295296,36.232810363904065,24.870995451241104,12.829586563254434,87.11449594295296,-0.8660254037844384,-0.5000000000000004,67,0.2392857142857143,-11.770277972045795,-0.4700571469968755,-0.2688703198567186,-0.01985940094625048
2004-09-01,4.507655250835432,2004,9,14.65311533510895,13.26982203971731,25.040100011763105,87.11449594295296,15.53744805356336,12.70169043597434,17.654345795529768,6.43353705920955,13.26982203971731,25.040100011763105,44.377388064072164,31.233832441394803,13.26982203971731,87.11449594295296,36.38477109489194,24.72011659762068,13.26982203971731,87.11449594295296,-1.0,-1.8369701987210297e-16,68,0.24285714285714285,1.3832932953916401,0.1042435453355266,1.823528771854516,0.1421346481325699
2004-10-01,17.65010903928486,2004,10,4.507655250835432,14.65311533510895,13.26982203971731,71.01738869746303,17.97843707586722,16.64556489091554,10.810197541887211,5.501809209990701,4.507655250835432,14.65311533510895,30.609581282052574,26.47104693098207,4.507655250835432,71.01738869746303,35.46562169466461,25.74936436939438,4.507655250835432,87.11449594295296,-0.8660254037844386,0.5000000000000001,69,0.24642857142857144,-10.145460084273518,-0.6923756383712436,-11.029792802727927,-0.7098844523697927
2004-11-01,18.710363356795774,2004,11,17.65010903928486,4.507655250835432,14.65311533510895,55.16940635742762,14.8107893675527,15.177624793759732,12.270293208409727,6.887626867143359,4.507655250835432,17.65010903928486,21.71503467235621,17.68649706668382,4.507655250835432,55.16940635742762,35.43826102494941,25.769801392174543,4.507655250835432,87.11449594295296,-0.5000000000000004,0.8660254037844384,70,0.25,13.142453788449428,2.9155853891030494,-0.3283280365823593,-0.018262323648982812
2004-12-01,22.566413253202075,2004,12,18.710363356795774,17.65010903928486,4.507655250835432,25.040100011763105,30.13203038695198,21.438445569378366,13.62270921563867,7.911649094240989,4.507655250835432,18.710363356795774,15.638527505584237,6.816895499180468,4.507655250835432,25.040100011763105,35.763225524053006,25.50930677227915,4.507655250835432,87.11449594295296,-2.4492935982947064e-16,1.0,71,0.25357142857142856,1.060254317510914,0.060070695039392996,3.899573989243075,0.2632927855814502
2005-01-01,19.906791321622176,2005,1,22.566413253202075,18.710363356795774,17.65010903928486,13.26982203971731,45.77579519035763,23.431582643721303,19.642295216427552,2.587254244211495,17.65010903928486,22.566413253202075,15.226246379157402,6.179587400686164,4.507655250835432,22.566413253202075,35.13275742957385,25.753459903912667,4.507655250835432,87.11449594295296,0.49999999999999994,0.8660254037844387,72,0.2571428571428571,3.856049896406301,0.20609166283271296,-7.565617133749903,-0.25108222169542316
2005-02-01,33.223646762996516,2005,2,19.906791321622176,22.566413253202075,18.710363356795774,14.65311533510895,46.118424679977416,30.854813102900636,20.394522643873323,1.9737506384850712,18.710363356795774,22.566413253202075,16.332407926141546,6.350981762970458,4.507655250835432,22.566413253202075,32.977007107179226,25.864043740929365,4.507655250835432,87.11449594295296,0.8660254037844386,0.5000000000000001,73,0.26071428571428573,-2.659621931579899,-0.11785753906649343,-25.86900386873545,-0.5651240740037343
2005-03-01,94.57829056487908,2005,3,33.223646762996516,19.906791321622176,22.566413253202075,4.507655250835432,87.11449594295296,59.86379312839379,25.23228377927357,7.047326369478431,19.906791321622176,33.223646762996516,19.42749649745614,9.237871324278164,4.507655250835432,33.223646762996516,31.902442280764152,25.534191062649764,4.507655250835432,87.11449594295296,1.0,6.123233995736766e-17,74,0.2642857142857143,13.31685544137434,0.6689604178906503,-12.8947779169809,-0.2796014392611993
2005-04-01,81.03956201867167,2005,4,94.57829056487908,33.223646762996516,19.906791321622176,17.65010903928486,71.01738869746303,131.45670992374232,49.236242883165914,39.82788753737357,19.906791321622176,94.57829056487908,34.43926904979674,29.998705399334185,17.65010903928486,94.57829056487908,32.52442516592466,27.047420951638923,4.507655250835432,94.57829056487908,0.8660254037844387,-0.49999999999999983,75,0.26785714285714285,61.35464380188257,1.8467161127603093,7.463794621926127,0.08567798666726835
2005-05-01,47.67031134814575,2005,5,81.03956201867167,94.57829056487908,33.223646762996516,18.710363356795774,55.16940635742762,71.94895274004398,69.61383311551573,32.23365538905388,33.223646762996516,94.57829056487908,45.004177879694545,33.8219433137787,18.710363356795774,94.57829056487908,33.35960627602538,28.46182884631644,4.507655250835432,94.57829056487908,0.49999999999999994,-0.8660254037844387,76,0.2714285714285714,-13.538728546207409,-0.14314837438217465,10.02217332120864,0.14112280816045641
